Snake,Reference,SVMP (Snake Venom Metalloproteinase),PI-SVMP (Snake Venom Metalloproteinase-PI),PII-SVMP (Snake Venom Metalloproteinase PII),PIII-SVMP (Snake Venom Metalloproteinase PIII),SVMPi (Snake Venom Metalloproteinase inhibitor),Disintegrin,Short disintegrin,Mediumdisintegrin,Largedisintegrin,Long disintegrin,Dimeric disintegrin,CTL (C-typelectin),DC-fragment (disintegrin-like/cysteine-ichdomains of PIII-SVMP),CRISP (cysteine-rich secretory protein),3Ftx (three-finger toxin),α-NTx (α-NeuroToxin),NTx (NeuroToxin),SNTx (Short chain NeuroToxin),LNTx (Long chain NeuroToxin),WNTx (Weak Neurotoxin),PLB (Phospholipase B),PLA2 (Phospholipases A2),Acidic PLA2 (Phospholipases A2),Basic PLA2 (Phospholipases A2),K49-PLA2,D49-PLA2,Cro-toxin,SP (Serine Proteinase),SPi (Serine Proteinase inhibitor),KuTi (Kunitz-type nhibitor),KaTi (Kazal-type inhibitor),KLK (Kallikrein),LAAO (L-Amino Acid oxidase),VAP (VasoActive Peptides),BPP (Bradykinin-Potentiating Peptides),BIP (Bradykinin-Inhibitory Peptide),VEGF (Vascular Endothelial Growth Factor),CVF (Cobra Venom Factor),NP (Natriuretic Peptide),Muscarinic-toxin,Cyto-toxin,Myo-toxin,Mojave-toxin,Sarafo-toxin,Trimucro-toxin,Waprin,Navaprin,Ohanin,Oscutarin C,Cystatin,Crotamine,Vespryn,HYA (HYAluronidase),KTC (proKineTiCin),NGF (Nerve Growth Factor),ILGF-1 (insulin-like growth factor),PDE (PhosphoDiEsterases),ACHE (AcetylCHolineEsterase),NT5 (5NucleoTidase),EP (EndoPeptidase),EN (EndoNuclease),Trypsinogen,QC (Glutaminyl Cyclase),CCM (Complement Control Module),LIPA (Lysosomal Lipase A),TRF (TRansFerrin),CTT (Cytidyltransferase),ALB (ALBumins),HBG (HemoGloBins),pG peptides (polyGly peptides),pGpH peptides (Gly-His-rich peptide),beta-BTx (beta-bungarotoxin),Gal (galactose-binding lectin),Selectins,FMO (flavin monoamine oxidases),GP (glutathione peroxidase),CELF (Type-B carboxylesterases/lipases),Atragin,AMT (AminoTransferase),Aspartic protease,TBP (Toxin biosynthesis proteins),BP (Blood Proteins),KNL (Kinesin-like protein),NTP (Neurotrophin),Fibrinogenases,AP (AminoPeptidase),ChE (Cholinesterase),OLP (Ohanin like proteins),CRVP (Cysteine Rich Venom Proteine),NMG (Neuronal membrane glycoprotein),RIB (ribosomal protein),ECTONT (ecto-59-nucleotidase),Actin,Unknown peptides,Non-toxin,Unknown/Undetermined,Country,PI-SVMP (Snake Venom Metalloproteinase PI),S49-PLA2,Continent
Agkistrodon bilineatus bilineatus,https://www.ncbi.nlm.nih.gov/pubmed/24211403,24.5,0,0,0,0,3.1,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,16.5,0,0,0,0,4.9,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,Mexico,0,0,America
Agkistrodon bilineatus howardgloydi,https://www.ncbi.nlm.nih.gov/pubmed/24211403,30.8,0,0,0,0,2.2,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,40.8,0,0,0,0,0,16.9,0,0,0,0,2.6,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,Costa Rica,0,0,America
Agkistrodon bilineatus taylori,https://www.ncbi.nlm.nih.gov/pubmed/24211403,30.6,0,0,0,0,2.7,0,0,0,0,0,1.4,0,5.6,0,0,0,0,0,0,0,34.3,0,0,0,0,0,7.6,0,0,0,0,4.8,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,Mexico,0,0,America
Agkistrodon contortrix contortrix,https://www.ncbi.nlm.nih.gov/pubmed/24211403,32.47,0,0,0,0,1.5,0,0,0,0,0,2.4,0.1,3.7,0,0,0,0,0,0,0,31.47,0,0,0,0,0,14.29,0,0,0,0,4.4,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,Origin unknown,0,0,Origin unknown
Agkistrodon contortrix contortrix,https://www.ncbi.nlm.nih.gov/pubmed/27983581,25.26,0,0,0,0,0,0,0,0,0,0,0.77,0,1.96,0,0,0,0,0,0,0,0,14.71,36.06,0,0,0,14.72,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,America
Agkistrodon contortrix laticinctus,https://www.ncbi.nlm.nih.gov/pubmed/24211403,30.6,0,0,0,0,0.8,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,39.2,0,0,0,0,0,14.1,0,0,0,0,4.9,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,USA,0,0,America
Agkistrodon contortrix mokasen,https://www.ncbi.nlm.nih.gov/pubmed/24211403,29.8,0,0,0,0,2.2,0,0,0,0,0,0.4,0,1.9,0,0,0,0,0,0,0,41.2,0,0,0,0,0,9.6,0,0,0,0,6.1,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,USA,0,0,America
Agkistrodon contortrix phaeogaster,https://www.ncbi.nlm.nih.gov/pubmed/24211403,21.4,0,0,0,0,2.2,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,40.2,0,0,0,0,0,22.5,0,0,0,0,5.4,0,5.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,USA,0,0,America
Agkistrodon contortrix pictigaster,https://www.ncbi.nlm.nih.gov/pubmed/24211403,30.2,0,0,0,0,0.8,0,0,0,0,0,2.5,0,2,0,0,0,0,0,0,0,38.2,0,0,0,0,0,8.9,0,0,0,0,8.8,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,USA,0,0,America
Agkistrodon piscivorus conanti,https://www.ncbi.nlm.nih.gov/pubmed/24211403,21,0,0,0,0,2.2,0,0,0,0,0,1.3,0,3,0,0,0,0,0,0,0,46,0,0,0,0,0,13.9,0,0,0,0,4.5,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,USA,0,0,America
Agkistrodon piscivorus leucostoma,https://www.ncbi.nlm.nih.gov/pubmed/24211403,26.1,0,0,0,0,4.9,0,0,0,0,0,0.8,0,2,0,0,0,0,0,0,0,43.2,0,0,0,0,0,10.1,0,0,0,0,2.7,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,USA,0,0,America
Agkistrodon piscivorus piscivorus,https://www.ncbi.nlm.nih.gov/pubmed/24211403,33.1,0,0,0,0,3.6,0,0,0,0,0,3.2,0,3.5,0,0,0,0,0,0,0,33.6,0,0,0,0,0,13.2,0,0,0,0,0.8,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,USA,0,0,America
Aipysurus laevis,https://www.ncbi.nlm.nih.gov/pubmed/26169672,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,25.3,0,0,0,0,0,0,71.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,Australia,0,0,Oceania
Atropoides nummifer mexicanus,https://www.ncbi.nlm.nih.gov/pubmed/18161938,0,14.74,0,3.39,0,0,0,2.49,0,0,0,1.29,0.1,1.89,0.1,0,0,0,0,0,0,36.35,0,0,0,0,0,21.91,0,0,0,0,9.06,0,8.57,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Costa Rica,0,0,America
Atropoides picadoi,https://www.ncbi.nlm.nih.gov/pubmed/18161938,0,9.67,0,56.53,0,0,0,0.1,0,0,0,1.79,0.1,4.79,0,0,0,0,0,0,0,9.47,0,0,0,0,0,13.46,0,0,0,0,2.19,0,1.79,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Costa Rica,0,0,America
Austrelaps labialis,https://www.ncbi.nlm.nih.gov/pubmed/18307759,3,0,0,0,0,0,0,0,0,0,0,0,0,8,45,0,0,0,0,0,0,33,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Australia,0,0,Oceania
Bitis arietans,https://www.ncbi.nlm.nih.gov/pubmed/16786436,38.46,0,0,0,0,0,0,0,0,17.78,0,13.19,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,19.48,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,Ghana,0,0,Africa
Bitis caudalis,https://www.ncbi.nlm.nih.gov/pubmed/17559253,11.5,0,0,0,0,0,0,0,0,0,2.3,4.9,0,1.2,0,0,0,0,0,0,0,59.8,0,0,0,0,0,15.1,0,3.2,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,Origin unknown,0,0,Origin unknown
Bitis gabonica,https://www.ncbi.nlm.nih.gov/pubmed/17203976,22.9,0,0,0,0,0,0,0,0,0,3.4,14.3,0.5,2,0,0,0,0,0,0,0,11.4,0,0,0,0,0,26.4,0,3,0,0,1.3,0,2.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,Origin unknown,0,0,Origin unknown
Bitis nasicornis,https://www.ncbi.nlm.nih.gov/pubmed/17559253,40.86,0,0,0,0,0,0,0,0,0,3.5,4.2,0.1,1.3,0,0,0,0,0,0,0,20.08,0,0,0,0,0,21.88,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,Origin unknown,0,0,Origin unknown
Bitis rhinoceros,https://www.ncbi.nlm.nih.gov/pubmed/17559253,30.8,0,0,0,0,0,0,0,0,0,8.5,14.1,0.6,1.2,0,0,0,0,0,0,0,4.8,0,0,0,0,0,23.9,0,7.5,0,0,2.2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,Origin unknown,0,0,Origin unknown
Bothriechis aurifer,https://www.ncbi.nlm.nih.gov/pubmed/27777178,0,12.49,2.1,20.48,3.2,1.2,0,0,0,0,0,16.38,0.2,10.69,0,0,0,0,0,0,0.7,0,0,0,0,0,0,7.29,0,0,0,0,9.49,0,13.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,Guatemala,0,0,America
Bothriechis bicolor,https://www.ncbi.nlm.nih.gov/pubmed/27777178,0,1.84,3.2,3.2,4.46,0.78,0,0,0,0,0,4.27,6.6,0.97,0,0,0,0,0,0,0.1,34.14,0,0,0,0,0,18.53,0,0,0,0,10.48,0,3.49,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,2.62,0,1.94,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guatemala,0,0,America
Bothriechis lateralis,https://www.ncbi.nlm.nih.gov/pubmed/18444672,54.99,0,0,0,0,0,0,0,0,0,0,0.9,0,6.49,0,0,0,0,0,0,0,8.68,0,0,0,0,0,11.28,0,0,0,0,6.09,0,11.08,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Costa Rica,0,0,America
Bothriechis lateralis,https://www.ncbi.nlm.nih.gov/pubmed/27777178,0,2.18,0,16.29,6.16,3.6,0,0,0,0,0,0,5.02,0,0,0,0,0,0,0,0,14.49,0,0,0,0,0,21.69,0,0,0,0,6.44,0,10.32,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,4.55,Costa Rica,0,0,America
Bothriechis marchi,https://www.ncbi.nlm.nih.gov/pubmed/27777178,0,1.1,0,34,8.5,1.7,0,0,0,0,0,4.2,4.8,2.8,0,0,0,0,0,0,0,14.3,0,0,0,0,0,10.1,0,0,0,0,1.1,0,10.6,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,Honduras,0,0,America
Bothriechis nigroviridis,https://www.ncbi.nlm.nih.gov/pubmed/20590130,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,38.3,0,0,0,0,0,18.4,0,0,0,0,0.5,0,26.9,10.1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,Costa Rica,0,0,America
Bothriechis schlegelii,https://www.ncbi.nlm.nih.gov/pubmed/18444672,17.7,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,43.8,0,0,0,0,0,5.8,0,0,8.3,0,8.9,0,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Costa Rica,0,0,America
Bothriechis schlegelii,https://www.ncbi.nlm.nih.gov/pubmed/27777178,0,0,0,8.1,6.9,0.1,0,0,0,0,0,0,0,11.3,0,0,0,0,0,0,0.8,17.3,0,0,0,0,0,20.6,0,6.3,0,0,3.4,0,15.9,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.03,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,Costa Rica,0,0,America
Bothriechis supraciliaris,https://www.ncbi.nlm.nih.gov/pubmed/22333435,6.8,0,0,0,0,1.6,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,13.4,0,0,0,0,0,15.2,0,0,9,0,5.9,0,21.9,0,1.4,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,Costa Rica,0,0,America
Bothriechis thalassinus,https://www.ncbi.nlm.nih.gov/pubmed/27777178,0,13.3,1.5,24.8,9.9,1.2,0,0,0,0,0,11.5,0.8,5.1,0,0,0,0,0,0,0.4,0,0,0,0,0,0,12.1,0,0,0,0,4.3,0,10.6,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.3,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.5,Guatemala,0,0,America
Bothrocophias campbelli,https://www.ncbi.nlm.nih.gov/pubmed/25091349,15.8,0,0,0,0,0.3,0,0,0,0,0,6.4,0,0.9,0,0,0,0,0,0,0,43.1,0,0,0,0,0,21.3,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,1.4,Ecuador,0,0,America
Bothrops pauloensis,https://www.ncbi.nlm.nih.gov/pubmed/22480909,0,12.15,0,25.8,0,1.29,0,0,0,0,0,0.6,0,2.19,0,0,0,0,0,0,0,0,0,0,16.33,15.84,0,10.46,0,0,0,0,2.79,0,6.18,0,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil,0,0,America
Bothrops alternatus,https://www.ncbi.nlm.nih.gov/pubmed/20329766,43.1,0,0,0,0,2.6,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,24.1,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,0,0,Brazil,0,0,America
Bothrops alternatus,https://www.ncbi.nlm.nih.gov/pubmed/24069493,0,3.6,7.59,40.96,0,0,0,0,0,0,0,14.79,0,2.5,0,0,0,0,0,0,2.4,2,0,0,0,0,0,5.79,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.4,0,1.5,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,Brazil,0,0,America
Bothrops asper,https://www.ncbi.nlm.nih.gov/pubmed/18557640,0,2.87,0,60.4,0,0,0,1.58,0,0,0,0.1,0,2.48,0,0,0,0,0,0,0,0,0,0,2.08,21.39,0,6.63,0,0,0,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Costa Rica,0,0,America
Bothrops asper,https://www.ncbi.nlm.nih.gov/pubmed/18557640,0,32.2,0,8.8,0,0,0,2.1,0,0,0,0.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,18.8,10,0,18.2,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Costa Rica,0,0,America
Bothrops asper,https://www.ncbi.nlm.nih.gov/pubmed/18557640,0,30.5,0,13.3,0,0,0,1.4,0,0,0,0.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,36,9.1,0,4.4,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Costa Rica,0,0,America
Bothrops asper,https://www.ncbi.nlm.nih.gov/pubmed/18557640,0,7.1,0,58.2,0,0,0,0.6,0,0,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,4.2,23.5,0,2.6,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,Costa Rica,0,0,America
